lambda_relevance,task,n,mean_similarity_top5,mean_similarity_change,mean_unique_models_top5,mean_unique_models_change,queries_with_duplicate_models,mean_intra_list_dissimilarity,mean_ild_change,changed_reference_set_n,changed_order_n
0.8,Health assessment,303,0.5438587458745875,-0.0032917491749175016,4.993399339933993,0.35973597359735976,2,0.5921785995887255,0.10069872998202203,303,303
0.8,Health modelling,8,0.6069,-0.00545000000000001,4.875,0.375,1,0.5399455903613799,0.1396398553435252,7,8
0.8,Multiple steps future state forecast,6,0.5392333333333333,-0.00016666666666666682,5.0,0.0,0,0.39521499612971195,0.062050433062763054,6,6
0.8,One step future state forecast,136,0.6060514705882353,-0.00031470588235294324,5.0,0.0,0,0.3404094249464492,0.013912760659819487,135,136
0.8,Remaining useful life estimation,371,0.5670641509433962,-0.001589218328840969,4.994609164420485,0.706199460916442,1,0.5100184992432729,0.14479502420018037,370,371
0.9,Fault detection,782,0.5489084398976982,-0.0012590792838874665,4.9808184143222505,0.2659846547314578,15,0.5047263717343956,0.09018651466525744,782,782
0.9,Fault feature extraction,93,0.5357247311827957,-0.002043010752688162,5.0,0.25806451612903225,0,0.6013464106740775,0.10882575117895084,91,93
0.9,Fault identification,122,0.5344278688524591,-0.001927868852459018,5.0,0.3442622950819672,0,0.6439561181450286,0.12220015300366582,122,122
0.9,Health assessment,303,0.5449174917491749,-0.002233003300330037,4.986798679867987,0.35313531353135313,4,0.5865042494772289,0.0950243798705254,300,303
0.9,Health modelling,8,0.611575,-0.0007750000000000118,4.75,0.25,2,0.5001765280494272,0.09987079303157259,6,8
0.9,Multiple steps future state forecast,6,0.5393333333333333,-6.666666666667782e-05,5.0,0.0,0,0.3971271389039237,0.06396257583697483,6,6
0.9,One step future state forecast,136,0.6061014705882353,-0.00026470588235294305,5.0,0.0,0,0.3397724606836199,0.013275796396990178,134,136
0.9,Remaining useful life estimation,371,0.5676975741239892,-0.000955795148247977,4.986522911051213,0.6981132075471698,4,0.5058130786433509,0.14058960360025843,357,371
