task,metric_id,metric_es,family_es,higher_is_better,n,baseline_mean,baseline_sd,baseline_median,baseline_q1,baseline_q3,diverse_mean,diverse_sd,diverse_median,diverse_q1,diverse_q3,mean_change,median_change,relative_change_percent,improved_n,worsened_n,tied_n,wilcoxon_n_nonzero,wilcoxon_statistic,wilcoxon_p,wilcoxon_p_text,rank_biserial,unique_models_sign_test_p,unique_models_sign_test_p_text,ci95_mean_change_low,ci95_mean_change_high,ci95_relative_change_percent_low,ci95_relative_change_percent_high
Fault identification,unique_models_top5,modelos únicos en el top-5,diversidad algorítmica,True,122,4.655737704918033,0.4770864017816239,5.0,4.0,5.0,5.0,0.0,5.0,5.0,5.0,0.3442622950819674,0.0,7.3943661971831025,42,0,80,42,0.0,9.12734179928913e-11,9.13e-11,1.0,4.547473508864641e-13,4.55e-13,0.26229508196721313,0.4262295081967213,5.536332179930796,9.31899641577061
Fault identification,intra_list_dissimilarity,disimilitud intra-lista (ILD) algorítmica,diversidad algorítmica,True,122,0.5217559651413628,0.062260478536850475,0.5258663824758779,0.46341392496203726,0.5628353977544195,0.6484825425562525,0.042318003872808305,0.6654493653097426,0.6185494568045797,0.680473178005965,0.12672657741488969,0.12704876237645313,24.288476966536418,122,0,0,122,0.0,8.956462356254378e-22,8.96e-22,1.0,,,0.11705075955319863,0.13657479151309218,22.07122150311828,26.613313384838563
Health assessment,top_similarity,similitud algorítmica del primer resultado,relevancia algorítmica,True,303,0.5546303630363036,0.0536012565540436,0.533,0.515,0.584,0.5546303630363036,0.0536012565540436,0.533,0.515,0.584,0.0,0.0,0.0,0,0,303,0,,,,,,,0.0,0.0,0.0,0.0
Health assessment,mean_similarity_top5,similitud algorítmica media del top-5,relevancia algorítmica,True,303,0.547150495049505,0.0512892336476644,0.5212,0.5124,0.5796999999999999,0.5426303630363036,0.05115363823006534,0.5156000000000001,0.5094000000000001,0.5781000000000001,-0.004520132013201339,-0.0030000000000000027,-0.8261222559603767,0,257,46,257,0.0,6.547513735549464e-44,6.55e-44,-1.0,,,-0.005112211221122114,-0.0039617161716171655,-0.9333601196528304,-0.7238820937357915
Health assessment,unique_models_top5,modelos únicos en el top-5,diversidad algorítmica,True,303,4.633663366336633,0.5284509214380865,5.0,4.0,5.0,5.0,0.0,5.0,5.0,5.0,0.36633663366336666,0.0,7.905982905982914,104,0,199,104,0.0,4.255192682423079e-23,4.26e-23,1.0,9.860761315262648e-32,9.86e-32,0.3069306930693069,0.42574257425742573,6.5400843881856545,9.307359307359308
Health assessment,intra_list_dissimilarity,disimilitud intra-lista (ILD) algorítmica,diversidad algorítmica,True,303,0.49147986960670353,0.0612831057826388,0.5003471059523885,0.45733195455600073,0.5442510197203322,0.5940956774940102,0.01288733292085783,0.5927769588210243,0.5903500277562428,0.603223926999382,0.10261580788730662,0.09641899929861564,20.878944232125473,301,2,0,303,3.0,1.8501639339221975e-51,1.85e-51,0.9998697238144867,,,0.09572483678641074,0.10973488645197221,19.209043059084916,22.636976949307307
Health modelling,top_similarity,similitud algorítmica del primer resultado,relevancia algorítmica,True,8,0.61475,0.09214700987319897,0.5885,0.5662499999999999,0.632,0.61475,0.09214700987319897,0.5885,0.5662499999999999,0.632,0.0,0.0,0.0,0,0,8,0,,,,,,,0.0,0.0,0.0,0.0
Health modelling,mean_similarity_top5,similitud algorítmica media del top-5,relevancia algorítmica,True,8,0.61235,0.09338906329360598,0.585,0.5660499999999999,0.62795,0.6044,0.0972212792698036,0.577,0.5442,0.62,-0.007949999999999902,-0.0010000000000000009,-1.2982771290928232,0,4,4,4,0.0,0.125,0.1250,-1.0,,,-0.0208,-0.0005000000000000004,-3.489609449166425,-0.08149959250203757
Health modelling,unique_models_top5,modelos únicos en el top-5,diversidad algorítmica,True,8,4.5,0.5345224838248488,4.5,4.0,5.0,4.875,0.3535533905932738,5.0,5.0,5.0,0.375,0.0,8.333333333333332,3,0,5,3,0.0,0.25,0.2500,1.0,0.25,0.2500,0.125,0.75,2.564102564102564,17.647058823529413
Health modelling,intra_list_dissimilarity,disimilitud intra-lista (ILD) algorítmica,diversidad algorítmica,True,8,0.4003057350178547,0.10244901641918833,0.4206502177068215,0.36210101010101003,0.4431573944110541,0.5470870590900196,0.02687246245487097,0.5495947206297596,0.5439497793966382,0.5644622048273363,0.14678132407216493,0.12894450292293808,36.66730482030643,7,0,1,7,0.0,0.015625,0.0156,1.0,,,0.08516023599155884,0.2093906853523994,18.452496349473222,62.98351953242172
Multiple steps future state forecast,top_similarity,similitud algorítmica del primer resultado,relevancia algorítmica,True,6,0.54,0.049181297258205775,0.5125,0.50725,0.571,0.54,0.049181297258205775,0.5125,0.50725,0.571,0.0,0.0,0.0,0,0,6,0,,,,,,,0.0,0.0,0.0,0.0
Multiple steps future state forecast,mean_similarity_top5,similitud algorítmica media del top-5,relevancia algorítmica,True,6,0.5394,0.04961209529943277,0.5112,0.50725,0.5703499999999999,0.5391,0.049850777325935444,0.5107999999999999,0.50715,0.5702499999999999,-0.00029999999999996696,0.0,-0.05561735261400945,0,2,4,2,0.0,0.5,0.5000,-1.0,,,-0.0006666666666666673,0.0,-0.1253132832080209,0.0
Multiple steps future state forecast,unique_models_top5,modelos únicos en el top-5,diversidad algorítmica,True,6,5.0,0.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0,0,6,0,,,,,,,0.0,0.0,0.0,0.0
Multiple steps future state forecast,intra_list_dissimilarity,disimilitud intra-lista (ILD) algorítmica,diversidad algorítmica,True,6,0.3331645630669488,0.14881907959088136,0.23737981024588883,0.23737981024588883,0.43948994090646054,0.3945331184445555,0.1103493918497211,0.3244747335056125,0.3244747335056125,0.4584673309817251,0.061368555377606715,0.08709492325972368,18.419892803927894,5,1,0,6,1.0,0.0625,0.0625,0.9047619047619048,,,0.029601140520894947,0.08709492325972368,6.365440706392755,36.69011411269846
One step future state forecast,top_similarity,similitud algorítmica del primer resultado,relevancia algorítmica,True,136,0.6083676470588235,0.08286569310445617,0.587,0.51475,0.707,0.6083676470588235,0.08286569310445617,0.587,0.51475,0.707,0.0,0.0,0.0,0,0,136,0,,,,,,,0.0,0.0,0.0,0.0
One step future state forecast,mean_similarity_top5,similitud algorítmica media del top-5,relevancia algorítmica,True,136,0.6063661764705881,0.08401954818448014,0.5839,0.51175,0.707,0.605910294117647,0.0842490868436384,0.5836999999999999,0.5105,0.707,-0.0004558823529411393,0.0,-0.07518268179050584,0,34,102,34,1.0,2.633159005802616e-07,2.63e-07,-1.0,,,-0.0008058823529411783,-0.00022058823529412028,-0.13346009003189738,-0.036220073987419305
One step future state forecast,unique_models_top5,modelos únicos en el top-5,diversidad algorítmica,True,136,5.0,0.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0,0,136,0,,,,,,,0.0,0.0,0.0,0.0
One step future state forecast,intra_list_dissimilarity,disimilitud intra-lista (ILD) algorítmica,diversidad algorítmica,True,136,0.3264966642866296,0.04109466078757891,0.34907363834422656,0.32854030501089326,0.34907363834422656,0.3410463892092785,0.017557644731984273,0.32854030501089326,0.32854030501089326,0.3655148148148148,0.014549724922648888,0.01644117647058818,4.456316561285222,71,65,0,136,4355.0,0.5036078447090666,0.5036,0.06504937741519966,,,0.007821368149383943,0.021548718876439468,2.34860759872654,6.735292371313658
Remaining useful life estimation,top_similarity,similitud algorítmica del primer resultado,relevancia algorítmica,True,371,0.5754258760107817,0.06820511020702298,0.546,0.5225,0.601,0.5754258760107817,0.06820511020702298,0.546,0.5225,0.601,0.0,0.0,0.0,0,0,371,0,,,,,,,0.0,0.0,0.0,0.0
Remaining useful life estimation,mean_similarity_top5,similitud algorítmica media del top-5,relevancia algorítmica,True,371,0.5686533692722372,0.06635959091333286,0.546,0.5188999999999999,0.5962000000000001,0.5664404312668463,0.06653103144156394,0.543,0.5172000000000001,0.5911,-0.0022129380053909076,-1.1102230246251565e-16,-0.3891541183028646,0,185,186,185,0.0,2.802832170045689e-32,2.80e-32,-1.0,,,-0.0027536388140161723,-0.0017288274932614504,-0.4843719017809807,-0.30394770815015926
Remaining useful life estimation,unique_models_top5,modelos únicos en el top-5,diversidad algorítmica,True,371,4.288409703504043,0.6198085182190859,4.0,4.0,5.0,5.0,0.0,5.0,5.0,5.0,0.7115902964959568,1.0,16.59333752357008,231,0,140,231,0.0,1.028139450882843e-46,1.03e-46,1.0,5.795634610449096e-70,5.80e-70,0.6495956873315364,0.7762803234501348,14.93184634448575,18.37906828334397
Remaining useful life estimation,intra_list_dissimilarity,disimilitud intra-lista (ILD) algorítmica,diversidad algorítmica,True,371,0.36522347504309255,0.09331052612495322,0.34178785425101216,0.28709160571229536,0.451979020938332,0.5127017527851038,0.08851771242858122,0.541168684973563,0.5035298439946116,0.5647588762851921,0.14747827774201122,0.13820371352785138,40.38028435182331,366,4,1,370,187.0,8.385535918945174e-62,8.39e-62,0.9945508851169228,,,0.13765559028891383,0.15746737565729774,37.05943952102499,43.87293753326667
