query_index,facts_file_primary_no_default,task_primary_no_default,baseline_refs_primary_no_default,diverse_refs_primary_no_default,changed_order_primary_no_default,changed_reference_set_primary_no_default,top1_preserved_primary_no_default,baseline_top_similarity_primary_no_default,diverse_top_similarity_primary_no_default,baseline_mean_similarity_primary_no_default,diverse_mean_similarity_primary_no_default,baseline_unique_models_primary_no_default,diverse_unique_models_primary_no_default,baseline_has_duplicate_models_primary_no_default,diverse_has_duplicate_models_primary_no_default,baseline_intra_list_dissimilarity_primary_no_default,diverse_intra_list_dissimilarity_primary_no_default,facts_file_default_sync,task_default_sync,baseline_refs_default_sync,diverse_refs_default_sync,changed_order_default_sync,changed_reference_set_default_sync,top1_preserved_default_sync,baseline_top_similarity_default_sync,diverse_top_similarity_default_sync,baseline_mean_similarity_default_sync,diverse_mean_similarity_default_sync,baseline_unique_models_default_sync,diverse_unique_models_default_sync,baseline_has_duplicate_models_default_sync,diverse_has_duplicate_models_default_sync,baseline_intra_list_dissimilarity_default_sync,diverse_intra_list_dissimilarity_default_sync,facts_file_equal,task_equal,baseline_ranking_equal,baseline_top1_equal,baseline_refset_equal,baseline_top_similarity_diff_primary_minus_default,baseline_mean_similarity_diff_primary_minus_default,baseline_unique_models_diff_primary_minus_default,baseline_intra_list_dissimilarity_diff_primary_minus_default,diverse_ranking_equal,diverse_top1_equal,diverse_refset_equal,diverse_top_similarity_diff_primary_minus_default,diverse_mean_similarity_diff_primary_minus_default,diverse_unique_models_diff_primary_minus_default,diverse_intra_list_dissimilarity_diff_primary_minus_default
1484,extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_6bce914faee8.ttl,Fault detection,"20,218,175,195,42","20,218,44,34,195",True,True,True,0.514,0.514,0.5102,0.5094,5,5,0,0,0.5215866854553778,0.5760046814582896,extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_6bce914faee8.ttl,Fault detection,"20,218,175,195,42","20,218,44,34,195",True,True,True,0.511,0.511,0.5082,0.5075999999999999,5,5,0,0,0.5215866854553778,0.5760046814582896,True,True,True,True,True,0.0030000000000000027,0.0020000000000000018,0.0,0.0,True,True,True,0.0030000000000000027,0.0018000000000000238,0.0,0.0
1485,extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_6ca4f84c1511.ttl,Fault identification,"252,203,243,244,189","252,247,189,255,210",True,True,True,0.559,0.559,0.5262,0.5204000000000001,4,5,1,0,0.4632673217256742,0.672145503459178,extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_6ca4f84c1511.ttl,Fault identification,"255,252,203,243,244","255,238,247,252,212",True,True,True,0.636,0.636,0.5452,0.5418,4,5,1,0,0.4109129717385283,0.6284020992335666,True,True,False,False,False,-0.07699999999999996,-0.019000000000000017,0.0,0.05235434998714589,False,False,False,-0.07699999999999996,-0.021399999999999864,0.0,0.043743404225611404
1486,extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_6cb8aede6e57.ttl,Remaining useful life estimation,"127,69,226,157,158","127,69,226,60,157",True,True,True,0.684,0.684,0.5962000000000001,0.595,4,5,1,0,0.45314167826362955,0.5422490924320192,extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_6cb8aede6e57.ttl,Remaining useful life estimation,"127,69,259,249,250","127,250,69,249,226",True,True,True,0.651,0.651,0.6424000000000001,0.6244,5,5,0,0,0.38388903537684027,0.47618273866802047,True,True,False,True,False,0.03300000000000003,-0.04620000000000002,-1.0,0.06925264288678928,False,True,False,0.03300000000000003,-0.02939999999999998,0.0,0.06606635376399878
1487,extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_6d246defadfc.ttl,Fault detection,"209,211,191,42,41","209,33,211,34,44",True,True,True,0.604,0.604,0.6012,0.5998,5,5,0,0,0.5749542767174346,0.5761606060606062,extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_6d246defadfc.ttl,Fault detection,"209,211,191,42,41","209,33,211,34,44",True,True,True,0.58,0.58,0.5775999999999999,0.5763999999999999,5,5,0,0,0.5749542767174346,0.5761606060606062,True,True,True,True,True,0.02400000000000002,0.023600000000000065,0.0,0.0,True,True,True,0.02400000000000002,0.023400000000000087,0.0,0.0
1488,extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_6d3bfcb2d45a.ttl,Fault detection,"19,42,41,44,43","19,44,34,33,41",True,True,True,0.517,0.517,0.513,0.513,5,5,0,0,0.3828822055137845,0.4320060606060606,extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_6d3bfcb2d45a.ttl,Fault detection,"19,42,41,44,43","19,44,34,33,41",True,True,True,0.513,0.513,0.5098,0.5098,5,5,0,0,0.3828822055137845,0.4320060606060606,True,True,True,True,True,0.0040000000000000036,0.0031999999999999806,0.0,0.0,True,True,True,0.0040000000000000036,0.0031999999999999806,0.0,0.0
1489,extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_6da34c123972.ttl,Fault detection,"215,42,41,44,43","215,195,44,34,33",True,True,True,0.518,0.518,0.5156000000000001,0.5156000000000001,5,5,0,0,0.39560656448814346,0.5474298788840026,extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_6da34c123972.ttl,Fault detection,"215,42,41,44,43","215,195,44,34,33",True,True,True,0.514,0.514,0.5124,0.5124,5,5,0,0,0.39560656448814346,0.5474298788840026,True,True,True,True,True,0.0040000000000000036,0.0032000000000000917,0.0,0.0,True,True,True,0.0040000000000000036,0.0032000000000000917,0.0,0.0
1490,extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_6e448e9baa63.ttl,One step future state forecast,"131,132,135,133,134","131,10,135,132,133",True,True,True,0.508,0.508,0.508,0.507,5,5,0,0,0.24191316526610646,0.32854030501089326,extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_6e448e9baa63.ttl,One step future state forecast,"131,132,135,133,134","131,255,10,249,135",True,True,True,0.507,0.507,0.507,0.48760000000000003,5,5,0,0,0.24191316526610646,0.4569781063609414,True,True,True,True,True,0.0010000000000000009,0.0010000000000000009,0.0,0.0,False,True,False,0.0010000000000000009,0.019399999999999973,0.0,-0.12843780135004812
1491,extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_6ef0b30b64e0.ttl,Fault detection,"166,167,42,41,44","166,34,33,44,41",True,True,True,0.536,0.536,0.5288,0.5264,4,5,1,0,0.285390749601276,0.35929696969696967,extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_6ef0b30b64e0.ttl,Fault detection,"166,167,42,41,44","166,34,33,44,41",True,True,True,0.529,0.529,0.523,0.5210000000000001,4,5,1,0,0.285390749601276,0.35929696969696967,True,True,True,True,True,0.007000000000000006,0.005800000000000027,0.0,0.0,True,True,True,0.007000000000000006,0.005399999999999849,0.0,0.0
1492,extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_6f04f92f41f4.ttl,Fault detection,"42,41,44,43,46","42,218,19,34,215",True,True,True,0.609,0.609,0.609,0.5985999999999999,5,5,0,0,0.2967919799498747,0.5680818815687236,extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_6f04f92f41f4.ttl,Fault detection,"42,41,44,43,46","42,218,19,34,215",True,True,True,0.583,0.583,0.583,0.5753999999999999,5,5,0,0,0.2967919799498747,0.5680818815687236,True,True,True,True,True,0.026000000000000023,0.026000000000000023,0.0,0.0,True,True,True,0.026000000000000023,0.0232,0.0,0.0
1493,extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_6f5202a005cf.ttl,Fault detection,"245,42,41,44,43","245,41,34,44,33",True,True,True,0.514,0.514,0.5124,0.5124,5,5,0,0,0.38654077501445916,0.4211804195804196,extraction_papers\ontocast_runs\run_remaining_500_gpt-5.6-luna_20260723_010000\output\facts_6f5202a005cf.ttl,Fault detection,"245,42,41,44,43","245,41,34,44,33",True,True,True,0.511,0.511,0.5102,0.5102,5,5,0,0,0.38654077501445916,0.4211804195804196,True,True,True,True,True,0.0030000000000000027,0.0021999999999999797,0.0,0.0,True,True,True,0.0030000000000000027,0.0021999999999999797,0.0,0.0
