corpus_id,Year,Source title,Open Access,screening_confidence,screening_reason_category,pdf_recovered
paper-0124,2026,"ASCE-ASME Journal of Risk and Uncertainty in Engineering Systems, Part B: Mechanical Engineering",All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0125,2026,Aerospace,All Open Access; Gold Open Access; Green Open Access,medium,physical_asset_maintenance,True
paper-0127,2026,Intelligent Service Robotics,All Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0128,2026,Measurement Science and Technology,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0129,2026,Sensors,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0133,2026,Array,All Open Access; Gold Open Access,high,physical_asset_maintenance,False
paper-0134,2026,Results in Engineering,All Open Access; Gold Open Access,high,physical_asset_maintenance,False
paper-0135,2026,SPE Journal,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0136,2026,Applied Sciences (Switzerland),All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0137,2026,"Eurasip Journal on Audio, Speech, and Music Processing",All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0138,2026,International Journal of Data Science and Analytics,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,True
paper-0140,2026,Results in Engineering,All Open Access; Gold Open Access,high,physical_asset_maintenance,False
paper-0142,2026,Computation,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0143,2026,Scientific Reports,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0144,2026,Hacettepe Journal of Mathematics and Statistics,All Open Access; Gold Open Access,high,physical_asset_maintenance,True
paper-0145,2026,Energy Conversion and Management: X,All Open Access; Gold Open Access,high,physical_asset_maintenance,False
paper-0146,2026,Microchemical Journal,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0147,2026,Energy Conversion and Management: X,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,False
paper-0148,2026,Scientific Reports,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0149,2026,Applied Sciences (Switzerland),All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0150,2026,Scientific Reports,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0152,2026,Nuclear Engineering and Technology,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,False
paper-0153,2026,Journal of Sound and Vibration,All Open Access; Hybrid Gold Open Access,medium,physical_asset_maintenance,False
paper-0154,2026,Engineering Reports,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,False
paper-0155,2026,Scientific Reports,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
