method,pool_size,top_k,lambda,keep_top1,weights,n_queries,mean_similarity,top1_similarity,ild_main_weights,unique_model_signatures,unique_model_types,unique_model_approaches,queries_with_duplicate_model_signature
MMR,10,10,0.0,True,main,1821,0.5417886326194399,0.5630340472267985,0.4324850205889184,9.173531026908293,3.4200988467874796,1.899505766062603,1108
MMR,10,10,0.5,True,main,1821,0.5417886326194399,0.5630340472267985,0.4324850205889184,9.173531026908293,3.4200988467874796,1.899505766062603,1108
MMR,10,10,0.6,True,main,1821,0.5417886326194399,0.5630340472267985,0.4324850205889184,9.173531026908293,3.4200988467874796,1.899505766062603,1108
MMR,10,10,0.7,True,main,1821,0.5417886326194399,0.5630340472267985,0.4324850205889184,9.173531026908293,3.4200988467874796,1.899505766062603,1108
MMR,10,10,0.8,True,main,1821,0.5417886326194399,0.5630340472267985,0.4324850205889184,9.173531026908293,3.4200988467874796,1.899505766062603,1108
MMR,10,10,0.9,True,main,1821,0.5417886326194399,0.5630340472267985,0.4324850205889184,9.173531026908293,3.4200988467874796,1.899505766062603,1108
MMR,10,10,1.0,True,main,1821,0.5417886326194399,0.5630340472267985,0.4324850205889184,9.173531026908293,3.4200988467874796,1.899505766062603,1108
CBR,15,3,1.0,True,n/a,1821,0.5591288669229362,0.5630340472267985,0.4069506496009775,2.8506315211422297,1.8550247116968699,1.4514003294892917,264
MMR,15,3,0.0,True,main,1821,0.5372121544938678,0.5630340472267985,0.6030300922091629,3.0,2.460186710598572,1.9214717188358046,0
MMR,15,3,0.5,True,main,1821,0.553998352553542,0.5630340472267985,0.5902167314800796,3.0,2.3887973640856672,1.8555738605162,0
MMR,15,3,0.6,True,main,1821,0.5548123741533956,0.5630340472267985,0.5884012504993547,3.0,2.3789126853377267,1.8511806699615596,0
MMR,15,3,0.7,True,main,1821,0.5554453596924767,0.5630340472267985,0.5863048809040755,3.0,2.3684788577704556,1.8462383305875891,0
MMR,15,3,0.8,True,main,1821,0.5562577338458722,0.5630340472267985,0.5831941218287817,2.9945085118066994,2.3662822624931357,1.8325096101043383,10
MMR,15,3,0.9,True,main,1821,0.5574404173531027,0.5630340472267985,0.5723856217091382,2.9923119165293794,2.3069741900054916,1.8204283360790774,13
MMR,15,3,1.0,True,main,1821,0.5591288669229362,0.5630340472267985,0.4069506496009775,2.8506315211422297,1.8550247116968699,1.4514003294892917,264
CBR,15,5,1.0,True,n/a,1821,0.5563079626578803,0.5630340472267985,0.42155414972086974,4.633168588687535,2.4162548050521693,1.6073585941790225,610
MMR,15,5,0.0,True,main,1821,0.5286116419549698,0.5630340472267985,0.5418486579173699,5.0,3.017023613399231,1.9681493684788578,0
MMR,15,5,0.5,True,main,1821,0.5522390993959363,0.5630340472267985,0.5294775852964917,5.0,2.8973091707852827,1.9071938495332235,0
MMR,15,5,0.6,True,main,1821,0.553282811641955,0.5630340472267985,0.5274060021285034,5.0,2.885777045579352,1.8973091707852827,0
MMR,15,5,0.7,True,main,1821,0.5536417353102691,0.5630340472267985,0.526472971220212,4.99725425590335,2.880834706205382,1.8962108731466227,5
MMR,15,5,0.8,True,main,1821,0.5542945634266886,0.5630340472267985,0.5247859182733485,4.99176276771005,2.8780889621087313,1.8901702361339923,14
MMR,15,5,0.9,True,main,1821,0.5549440966501922,0.5630340472267985,0.5201233139932756,4.985722130697419,2.86271279516749,1.886326194398682,25
MMR,15,5,1.0,True,main,1821,0.5563079626578803,0.5630340472267985,0.42155414972086974,4.633168588687535,2.4162548050521693,1.6073585941790225,610
CBR,15,10,1.0,True,n/a,1821,0.5417886326194399,0.5630340472267985,0.4324850205889184,9.173531026908293,3.4200988467874796,1.899505766062603,1108
MMR,15,10,0.0,True,main,1821,0.5279264689730917,0.5630340472267985,0.4796331353169269,9.985172981878089,3.6908292147171884,1.9763866007688085,25
MMR,15,10,0.5,True,main,1821,0.5401702910488743,0.5630340472267985,0.47522053367642186,9.982976386600768,3.641405820977485,1.9725425590334982,29
MMR,15,10,0.6,True,main,1821,0.540452498627128,0.5630340472267985,0.4749745404257609,9.979132344865459,3.6397583745194946,1.971444261394838,36
MMR,15,10,0.7,True,main,1821,0.5406250411861615,0.5630340472267985,0.47470851940598785,9.974739154310818,3.6375617792421746,1.971444261394838,42
MMR,15,10,0.8,True,main,1821,0.5407403624382208,0.5630340472267985,0.47446269588678364,9.971444261394838,3.6353651839648546,1.971444261394838,48
MMR,15,10,0.9,True,main,1821,0.5410343218012081,0.5630340472267985,0.47285637878388376,9.959362987369577,3.6353651839648546,1.971993410214168,65
